,precision,recall,f1-score,support
Bacterial Blight,0.8123953098827471,0.5425055928411633,0.6505700871898055,894.0
Bacterial Leaf Blight,0.3242009132420091,0.9102564102564102,0.4781144781144781,156.0
Bacterial Streak,0.8196078431372549,1.0,0.9008620689655172,209.0
Bakanae,0.46511627906976744,1.0,0.6349206349206349,20.0
Brown Spot,0.9034749034749034,0.6262265834076717,0.7397260273972602,1121.0
False Smut,0.25,0.26666666666666666,0.25806451612903225,30.0
Grassy Stunt Virus,0.6451612903225806,1.0,0.7843137254901961,20.0
Healthy,0.8666666666666667,0.770618556701031,0.8158253751705321,776.0
Hispa,0.6937269372693727,0.8337028824833703,0.75730110775428,451.0
Leaf Blast,0.6873949579831933,0.5497311827956989,0.6109036594473488,744.0
Leaf Smut,0.7225,0.9633333333333334,0.8257142857142857,300.0
Leaf scald,0.7838709677419354,0.8678571428571429,0.823728813559322,560.0
Narrow Brown Spot,0.7454242928452579,0.8327137546468402,0.7866549604916594,538.0
Neck Blast,0.9233449477351916,1.0,0.9601449275362319,265.0
Ragged Stunt Virus,0.6153846153846154,0.8,0.6956521739130435,20.0
Rice False Smut,0.19736842105263158,0.5172413793103449,0.2857142857142857,29.0
Sheath Blight,0.7642276422764228,0.7866108786610879,0.7752577319587629,239.0
Sheath Rot,0.19047619047619047,0.8421052631578947,0.3106796116504854,19.0
Stem Rot,0.32786885245901637,1.0,0.49382716049382713,20.0
Tungro,0.9573529411764706,0.9716417910447761,0.9644444444444444,670.0
accuracy,0.7573789012851292,0.7573789012851292,0.7573789012851292,0.7573789012851292
macro avg,0.6347781986098113,0.8040605709081715,0.6776210038027717,7081.0
weighted avg,0.7966683856229276,0.7573789012851292,0.7619085703813511,7081.0
